code,material,description,source
G45,Plastic,Mussel nets,Aquaculture
G46,Plastic,Oyster trays,Aquaculture
G47,Plastic,Sheeting from mussel culture,Aquaculture
G48,Plastic,Synthetic rope,Utility items
G49,Plastic,Rope > 1cm,Utility items
G5,Plastic,Generic plastic bags,Packaging
G50,Plastic,String < 1cm,Utility items
G51,Plastic,Fishing net,Fishing
G52,Plastic,Nets and pieces,Fishing
G53,Plastic,Nets and pieces < 50cm,Fishing
G54,Plastic,Nets and pieces > 50cm,Fishing
G55,Plastic,Fishing line,Fishing
G56,Plastic,Tangled nets,Fishing
G57,Plastic,Fish boxes,Fishing
G58,Plastic,Foam fish box,Fishing
G59,Plastic,Fishing line,Fishing
G6,Plastic,Bottles,Packaging
G60,Plastic,Light sticks,Fishing
G61,Plastic,Other fishing related,Fishing
G62,Plastic,Floats for nets,Fishing
G63,Plastic,Buoys,Undefined
G64,Plastic,Fenders,Vehicle
G65,Plastic,Buckets,Utility items
G66,Plastic,Strapping bands,Industry
G67,Plastic,Industrial sheeting,Utility items
G68,Plastic,Fiberglass fragments,Fishing
G69,Plastic,Helmets or hardhats,Clothing
G7,Plastic,Drink bottles < 0.5l,Packaging
G70,Plastic,Shotgun cartridges,Hunting
G71,Plastic,Shoes sandals,Clothing
G72,Plastic,Traffic cones,Utility items
G73,Plastic,Foam sponge,Undefined
G74,Plastic,"Foam packaging, insulation",Undefined
G75,Plastic,Plastic/polystyrene pcs. < 2.5,Undefined
G76,Plastic,Plastic/polystyrene 2.5 > < 50,Undefined
G77,Plastic,Plastic or polystyrene  > 50cm,Undefined
G78,Plastic,Plastic pieces 0 - 2.5 cm,Undefined
G79,Plastic,Plastic pieces 2.5 > < 50cm,Undefined
G8,Plastic,Drink bottles  > 0.5l,Packaging
G80,Plastic,Plastic pieces > 50cm,Undefined
G81,Plastic,Polystyrene pieces 0 - 2.5 cm,Undefined
G82,Plastic,Polystyrene pieces 2.5 > < 50cm,Undefined
G83,Plastic,Polystyrene pieces > 50cm,Undefined
G84,Plastic,CD or CD box,Packaging
G85,Plastic,Salt packaging,Packaging
G86,Plastic,Fin trees,Recreation
G87,Plastic,Masking tape,Utility items
G88,Plastic,Telephone or pieces of,Utility items
G89,Plastic,Plastic construction waste,Construction
G9,Plastic,Cleaner bottles,Packaging
G90,Plastic,Plastic flower pots,Agriculture
G91,Plastic,Biomass holder,Water Treament
G92,Plastic,Bait containers,Fishing
G93,Plastic,Cable ties ,Utility items
G94,Plastic,Table cloth,Utility items
G95,Plastic,Cotton swabs,Personal hygiene
G96,Plastic,Sanitary napkins tampon applic,Personal hygiene
G97,Plastic,Toilet fresheners,Personal hygiene
G98,Plastic,Diapers - wipes,Personal hygiene
G99,Plastic,Syringes - needles,Medical
G125,Rubber,Balloons and balloon sticks,Recreation
G126,Rubber,Balls,Recreation
G127,Rubber,Rubber boots,Clothing
G128,Rubber,Tires and belts,Vehicle
G129,Rubber,Inner tubes and rubber sheets,Vehicle
G130,Rubber,Wheels,Vehicle
G131,Rubber,Rubber bands,Utility items
G132,Rubber,Bobbers (fishing),Fishing
G133,Rubber,Condoms,Personal hygiene
G134,Rubber,Other rubber,Undefined
G211,Unidentified,Other medical items,Medical
G999,Unidentified,No objects found on this survey,Undefined
G159,Wood,Corks,Packaging
G160,Wood,Pallets,Packaging
G161,Wood,Processed wood,Packaging
G162,Wood,Crates,Packaging
G163,Wood,Crab lobster pots,Fishing
G164,Wood,Fish boxes,Fishing
G165,Wood,Ice cream sticks or chopsticks,Food
G166,Wood,Paint brushes,Utility items
G167,Wood,Matches or fireworks,Recreation
G168,Wood,Wood boards,Undefined
G169,Wood,"Beams, dunnage",Undefined
G170,Wood,Wood (processed),Undefined
G171,Wood,Other wood < 50cm,Undefined
G172,Wood,Other wood > 50cm,Undefined
G173,Wood,Other,Undefined
